full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,50335,50335,3584,49,49,5,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,12372,12372,3116,180,180,11,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,24412,24412,1922,13,13,-2,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,19125,19125,1091,17,17,1,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,14375,14375,1239,21,21,2,https://github.com/davila7/claude-code-templates
anthropics/claude-code-action,4512,4512,1314,4,4,3,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8041,8041,1066,3,3,1,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,6639,6639,725,18,18,1,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3369,3369,503,4,4,1,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,2739,2739,369,3,3,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5290,5290,200,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,1873,1873,334,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6030,6030,292,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,2012,2012,432,3,3,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,2851,2851,252,1,1,0,https://github.com/zebbern/claude-code-guide
Piebald-AI/claude-code-system-prompts,2419,2419,381,63,63,4,https://github.com/Piebald-AI/claude-code-system-prompts
obra/superpowers,13230,13230,1082,47,47,4,https://github.com/obra/superpowers
Cranot/claude-code-guide,2231,2231,245,0,0,0,https://github.com/Cranot/claude-code-guide
eyaltoledano/claude-task-master,24535,24535,2366,9,9,0,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-code-base-action,542,542,597,0,0,0,https://github.com/anthropics/claude-code-base-action
fuergaosi233/claude-code-proxy,1816,1816,245,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
Pimzino/claude-code-spec-workflow,3255,3255,237,1,1,1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,24078,24078,2679,13,13,1,https://github.com/wshobson/agents
anthropics/claude-code-security-review,2782,2782,206,1,1,0,https://github.com/anthropics/claude-code-security-review
siteboon/claudecodeui,5230,5230,666,0,0,0,https://github.com/siteboon/claudecodeui
https-deeplearning-ai/sc-claude-code-files,350,350,453,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/skills,31407,31407,2845,87,87,7,https://github.com/anthropics/skills
github/spec-kit,59000,59000,5153,30,30,1,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,769,769,391,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1274,1274,213,0,0,1,https://github.com/lst97/claude-code-sub-agents
feiskyer/claude-code-settings,988,988,157,1,1,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,782,782,178,0,0,0,https://github.com/sugyan/claude-code-webui
nishimoto265/Claude-Code-Communication,467,467,218,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
rizethereum/claude-code-requirements-builder,1717,1717,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
edmund-io/edmunds-claude-code,786,786,166,4,4,2,https://github.com/edmund-io/edmunds-claude-code
andrepimenta/claude-code-chat,948,948,139,0,0,1,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19619,19619,1509,4,4,0,https://github.com/winfunc/opcode
ComposioHQ/awesome-claude-skills,13721,13721,1449,52,52,8,https://github.com/ComposioHQ/awesome-claude-skills
centminmod/my-claude-code-setup,1499,1499,144,2,2,0,https://github.com/centminmod/my-claude-code-setup
EnzeD/vibe-coding,3432,3432,993,1,1,0,https://github.com/EnzeD/vibe-coding
peterkrueck/Claude-Code-Development-Kit,1266,1266,144,3,3,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
steipete/claude-code-mcp,976,976,109,0,0,0,https://github.com/steipete/claude-code-mcp
darcyegb/ClaudeCodeAgents,436,436,39,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
revfactory/claude-code-mastering,731,731,117,0,0,0,https://github.com/revfactory/claude-code-mastering
disler/claude-code-hooks-multi-agent-observability,870,870,271,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
router-for-me/CLIProxyAPI,4477,4477,689,13,13,2,https://github.com/router-for-me/CLIProxyAPI
Njengah/claude-code-cheat-sheet,1077,1077,131,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
JessyTsui/Claude-Code-Remote,919,919,101,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
wasabeef/claude-code-cookbook,889,889,102,0,0,0,https://github.com/wasabeef/claude-code-cookbook
0xfurai/claude-code-subagents,601,601,119,0,0,0,https://github.com/0xfurai/claude-code-subagents
opactorai/Claudable,3521,3521,548,3,3,0,https://github.com/opactorai/Claudable
upstash/context7,40640,40640,2008,14,14,0,https://github.com/upstash/context7
kn1026/cc,697,697,265,0,0,0,https://github.com/kn1026/cc
superdesigndev/superdesign,5622,5622,650,0,0,0,https://github.com/superdesigndev/superdesign
zed-industries/claude-code-acp,672,672,95,1,1,0,https://github.com/zed-industries/claude-code-acp
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
anthropics/claude-agent-sdk-python,3786,3786,502,5,5,0,https://github.com/anthropics/claude-agent-sdk-python
slopus/happy,5991,5991,461,7,7,1,https://github.com/slopus/happy
EveryInc/compound-engineering-plugin,3346,3346,282,9,9,0,https://github.com/EveryInc/compound-engineering-plugin
severity1/claude-code-prompt-improver,1018,1018,95,0,0,0,https://github.com/severity1/claude-code-prompt-improver
alirezarezvani/claude-code-tresor,404,404,101,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
catlog22/Claude-Code-Workflow,809,809,71,1,1,0,https://github.com/catlog22/Claude-Code-Workflow
greggh/claude-code.nvim,1670,1670,51,1,1,0,https://github.com/greggh/claude-code.nvim
ericbuess/claude-code-docs,518,518,85,2,2,0,https://github.com/ericbuess/claude-code-docs
pchalasani/claude-code-tools,897,897,67,3,3,0,https://github.com/pchalasani/claude-code-tools
Matt-Dionis/claude-code-configs,581,581,79,1,1,0,https://github.com/Matt-Dionis/claude-code-configs
coleam00/context-engineering-intro,12019,12019,2543,2,2,0,https://github.com/coleam00/context-engineering-intro
d-kimuson/claude-code-viewer,743,743,66,0,0,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,924,924,155,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
zsio/claude-code-hub,139,139,131,0,0,0,https://github.com/zsio/claude-code-hub
manzaltu/claude-code-ide.el,1223,1223,67,0,0,0,https://github.com/manzaltu/claude-code-ide.el
numman-ali/openskills,3755,3755,276,4,4,0,https://github.com/numman-ali/openskills
jeremylongshore/claude-code-plugins-plus-skills,860,860,98,2,2,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
gurusup/claude-code-demo,69,69,154,0,0,0,https://github.com/gurusup/claude-code-demo
UfoMiao/zcf,4992,4992,351,2,2,0,https://github.com/UfoMiao/zcf
hesreallyhim/a-list-of-claude-code-agents,1104,1104,108,0,0,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
simonw/claude-code-transcripts,563,563,58,15,15,3,https://github.com/simonw/claude-code-transcripts
oraios/serena,17974,17974,1236,8,8,3,https://github.com/oraios/serena
stretchcloud/claude-code-unified-agents,718,718,69,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
Dicklesworthstone/claude_code_agent_farm,608,608,71,0,0,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
MadAppGang/claude-code,193,193,17,0,0,0,https://github.com/MadAppGang/claude-code
daaain/claude-code-log,599,599,53,0,0,0,https://github.com/daaain/claude-code-log
cexll/myclaude,1541,1541,202,2,2,2,https://github.com/cexll/myclaude
IncomeStreamSurfer/claude-code-agents-wizard-v2,306,306,157,0,0,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
iannuttall/claude-agents,1953,1953,262,0,0,0,https://github.com/iannuttall/claude-agents
BloopAI/vibe-kanban,10760,10760,963,155,155,17,https://github.com/BloopAI/vibe-kanban
stevemolitor/claude-code.el,559,559,49,0,0,0,https://github.com/stevemolitor/claude-code.el
disler/claude-code-is-programmable,277,277,89,0,0,0,https://github.com/disler/claude-code-is-programmable
davepoon/buildwithclaude,2100,2100,232,1,1,0,https://github.com/davepoon/buildwithclaude
cjo4m06/mcp-shrimp-task-manager,1942,1942,234,1,1,0,https://github.com/cjo4m06/mcp-shrimp-task-manager
