full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,53379,53379,3837,133,133,14,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,13431,13431,3239,2,2,0,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,25067,25067,1965,4,4,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,14943,14943,1284,13,13,4,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,19689,19689,1112,15,15,0,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,4973,4973,1356,7,7,3,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8236,8236,1091,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,7320,7320,818,15,15,4,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3411,3411,514,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,2792,2792,379,0,0,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5288,5288,200,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,1898,1898,341,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Piebald-AI/claude-code-system-prompts,2793,2793,422,3,3,3,https://github.com/Piebald-AI/claude-code-system-prompts
Maciek-roboblog/Claude-Code-Usage-Monitor,6104,6104,294,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zebbern/claude-code-guide,2939,2939,263,1,1,0,https://github.com/zebbern/claude-code-guide
obra/superpowers,14847,14847,1205,85,85,5,https://github.com/obra/superpowers
disler/claude-code-hooks-mastery,2044,2044,438,0,0,0,https://github.com/disler/claude-code-hooks-mastery
Cranot/claude-code-guide,2244,2244,245,0,0,-1,https://github.com/Cranot/claude-code-guide
eyaltoledano/claude-task-master,24690,24690,2374,3,3,1,https://github.com/eyaltoledano/claude-task-master
fuergaosi233/claude-code-proxy,1848,1848,251,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-base-action,548,548,598,1,1,0,https://github.com/anthropics/claude-code-base-action
Pimzino/claude-code-spec-workflow,3290,3290,241,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,24713,24713,2726,19,19,3,https://github.com/wshobson/agents
ChrisWiles/claude-code-showcase,1920,1920,193,156,156,11,https://github.com/ChrisWiles/claude-code-showcase
anthropics/claude-code-security-review,2808,2808,207,1,1,0,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,356,356,469,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/skills,35815,35815,3246,84,84,6,https://github.com/anthropics/skills
github/spec-kit,61021,61021,5302,47,47,4,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,784,784,395,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,5372,5372,680,2,2,3,https://github.com/siteboon/claudecodeui
lst97/claude-code-sub-agents,1295,1295,216,0,0,0,https://github.com/lst97/claude-code-sub-agents
feiskyer/claude-code-settings,1043,1043,166,0,0,0,https://github.com/feiskyer/claude-code-settings
edmund-io/edmunds-claude-code,858,858,181,8,8,2,https://github.com/edmund-io/edmunds-claude-code
